logo_url,Full Name,Country,Founded,Started Operations,Group / Part of,Headquarters,Average Fleet Age 1,Official Site,Airline ID,Airline Name,Predecessors,Subsidiaries,Predecessor,Focus Cities,Callsign,Current Fleet Size,Aircraft On Order,Hubs
https://assets.planespotters.net/files/airlines/8/qatar-airways_59d08b.svg,Qatar Airways Company Q.C.S.C.,Qatar,22/11/1993,20/01/1994,Qatar Airways Group,Doha,9.7 Years,qatarairways.com,1,Qatar Airways,,,,,QATARI,227,11,Doha Hamad International (DOH / OTHH)
https://assets.planespotters.net/files/airlines/5/singapore-airlines_921743.svg,Singapore Airlines,Singapore,01/05/1947,,,,7.9 Years,singaporeair.com,2,Singapore Airlines,"Malaysia-Singapore Airlines (ML / MSA),  SilkAir (MI / SLK)","Air India, Scoot, SilkAir, Singapore Airlines Cargo, Tradewinds, Vistara",,,SINGAPORE,158,5,Singapore Changi (SIN / WSSS)
https://assets.planespotters.net/files/airlines/4/emirates_opk.jpg,Emirates Airline,United Arab Emirates,25/03/1985,25/10/1985,The Emirates Group,Dubai,10.9 Years,emirates.com,3,Emirates,,,,,EMIRATES,260,22,Dubai International (DXB / OMDB)
https://assets.planespotters.net/files/airlines/8/all-nippon-airways_705169.svg,All Nippon Airways Company Limited,Japan,27/12/1952,01/12/1957,ANA Group,Tokyo,11.1 Years,ana.co.jp,4,ANA,,,Japan Helicopter and Aeroplane Transports Company,,ALL NIPPON,239,13,"Tokyo Haneda (HND / RJTT), Tokyo Narita (NRT / RJAA), Osaka Itami (ITM / RJOO), Osaka Kansai (KIX / RJBB)"
https://assets.planespotters.net/files/airlines/8/cathay-pacific_84333f.svg,Cathay Pacific Airways Limited,Hong Kong,24/09/1946,,Cathay Group,Hong Kong,12 Years,cathaypacific.com,5,Cathay Pacific,,,,,CATHAY,179,,Hong Kong Chek Lap Kok (HKG / VHHH)
https://assets.planespotters.net/files/airlines/7/japan-airlines_2decbc_opr.png,Japan Airlines Company Limited,Japan,01/08/1951,25/10/1951,JAL Group,Tokyo,11.9 Years,jal.com,6,Japan Airlines,,,Japan Airlines Domestic (JL / JFL),,JAPANAIR,149,2,"Osaka Itami (ITM / RJOO), Osaka Kansai (KIX / RJBB), Nagoya Chubu Centrair (NGO / RJGG), Tokyo Haneda (HND / RJTT), Tokyo Narita (NRT / RJAA)"
https://assets.planespotters.net/files/airlines/6/turkish-airlines_da1e4f_opk.jpg,Turkey Hava Yollari A.O.,Turkey,20/05/1933,,,Istanbul Ataturk (ISL / LTBA),9.1 Years,turkishairlines.com,7,Turkish Airlines,,"AJet, AnadoluJet, SunExpress, SunExpress Germany",Turkish Air Transport (ZH / THT),,TURKISH,374,11,Istanbul New Airport (IST / LTFM)
https://assets.planespotters.net/files/airlines/9/eva-airways_516c2c_opr.png,EVA Airways Corporation,Taiwan,08/03/1989,01/07/1991,Evergreen Group,Taoyuan City,9 Years,evaair.com,8,EVA Air,,,,Bangkok Suvarnabhumi (BKK / VTBS),EVA,84,5,Taipei Taoyuan (TPE / RCTP)
https://assets.planespotters.net/files/airlines/6/air-france_45ae1c.svg,Air France-KLM,France,07/10/1933,,Air France-KLM,Paris Charles De Gaulle (CDG / LFPG),12.6 Years,airfrance.com,9,Air France,"Air France Air Inter Express (AF), Air France Asie (AF), Air France Express (AF), Air Inter Europe (IT / ITF)","Air France Air Inter Express, Air France Asie, Air France Express, Euroberlin",,"Lyon Saint Exupery (LYS / LFLL)                                                    

 Marseille Provence (MRS / LFML)",AIRFRANS,226,2,"Paris Orly (ORY / LFPO), Pointe-a-Pitre Le Raizet (PTP / TFFR)"
https://assets.planespotters.net/files/airlines/9/swiss_8c838e.svg,Swiss International Air Lines Ltd.,Switzerland,31/03/2002,,Lufthansa Group,,11.8 Years,swiss.com,10,Swiss,"Crossair (LX / CRX)


 Crossair Europe (QE / ECC)


 Swiss Global (LX / SWU)


 Swiss Sun (LX / SWR)",Swiss Sun,,Geneva Cointrin (GVA / LSGG),SWISS,89,6,Zurich Kloten (ZRH / LSZH)